CPU,RAM,Storage,GPU,ScreenSize,ScreenType,TouchType,Form,Region,Price in INR
20,15,28,4,15,FHD,Non-Touch,Laptop,GER,380797.816
20,3,4,14,10,FHD,Non-Touch,Laptop,FRA,395776.402
20,7,52,3,15,FHD,Non-Touch,Laptop,AUS,1565076.03
20,15,56,4,17,FHD,Non-Touch,Laptop,IND,422489.088
25,15,39,28,14,HD+,Touch,Laptop,AUS,308771.82
20,3,56,17,17,FHD,Non-Touch,Laptop,AUS,922790.715
22,15,41,18,17,FHD,Non-Touch,Laptop,IND,977971.61
20,15,4,19,17,FHD,Non-Touch,Laptop,IND,552581.61
20,3,56,5,27,FHD,Touch,Desktop,USA,660333.744
10,15,23,19,10,FHD,Non-Touch,Desktop,FRA,414571.395
7,15,23,28,14,FHD,Non-Touch,Laptop,AUS,201965.4
6,13,39,28,14,FHD,Non-Touch,Laptop,AUS,259505.925
7,13,40,28,14,FHD,Non-Touch,Laptop,AUS,152531.505
10,15,13,18,10,FHD,Non-Touch,Desktop,FRA,412562.381
44,15,4,28,15,HD+,Non-Touch,Laptop,AUS,182203.77
20,15,59,28,15,FHD,Non-Touch,Laptop,GBR,511160.496
20,13,53,28,15,HD+,Non-Touch,Laptop,FRA,167440
22,3,54,18,10,FHD,Non-Touch,Desktop,FRA,504248.346
44,13,67,28,11,HD+,Non-Touch,Laptop,FRA,73776.311
20,3,46,7,15,FHD,Non-Touch,Laptop,CHN,1274263.2
20,3,70,32,15,QHD+,Non-Touch,Laptop,IND,1737469.524
20,15,46,28,13,QHD+,Non-Touch,Laptop,CAN,422808.75
5,15,39,28,14,FHD,Non-Touch,Laptop,CHN,456607.242
22,8,23,30,10,FHD,Non-Touch,Desktop,GBR,421718.661
20,7,56,26,17,FHD,Non-Touch,Laptop,AUS,1001644.35
35,16,23,10,15,FHD,Touch,Laptop,FRA,269768.8
25,3,4,18,15,FHD,Non-Touch,Laptop,IND,714098.476
20,11,54,28,13,UHD,Touch,Laptop,FRA,381272.262
1,3,56,7,15,UHD,Non-Touch,Laptop,FRA,930996.276
20,3,54,7,15,UHD,Non-Touch,Laptop,CAN,1096265.297
20,3,54,5,13,QHD+,Touch,Laptop,USA,1031749.488
6,3,4,5,15,FHD,Non-Touch,Laptop,FRA,342712.384
20,7,70,28,17,FHD,Touch,Laptop,FRA,700216.3
22,1,70,18,10,FHD,Non-Touch,Desktop,AUS,1430567.775
12,3,49,17,15,FHD,Non-Touch,Laptop,AUS,574292.565
25,15,56,5,17,FHD,Non-Touch,Desktop,IND,488884.62
12,16,23,33,10,FHD,Non-Touch,Desktop,FRA,333728.164
22,3,23,26,17,FHD,Non-Touch,Laptop,AUS,1682788.065
20,3,53,28,15,FHD,Touch,Laptop,FRA,411197.157
15,13,73,28,14,HD+,Non-Touch,Laptop,CAN,99780.59
25,15,40,5,17,FHD,Non-Touch,Laptop,BRA,443014.8531
20,3,49,31,10,FHD,Non-Touch,Desktop,AUS,1226468.145
10,3,13,19,10,FHD,Non-Touch,Desktop,FRA,461156.157
25,15,41,5,15,UHD,Non-Touch,Laptop,BRA,460754.7557
6,15,41,28,10,FHD,Non-Touch,Laptop,AUS,376044.48
22,1,54,18,10,FHD,Non-Touch,Desktop,FRA,506729.587
25,13,23,35,14,HD+,Non-Touch,Laptop,GER,249688.908
20,7,23,5,17,FHD,Non-Touch,Laptop,FRA,509596.08
25,3,41,28,13,UHD,Non-Touch,Laptop,IND,813885.058
20,7,23,28,13,FHD,Non-Touch,Laptop,IND,1224278.202
25,15,40,19,15,FHD,Non-Touch,Laptop,BRA,473322.1668
22,15,54,17,10,FHD,Non-Touch,Desktop,FRA,563401.601
20,15,4,28,15,FHD,Non-Touch,Laptop,AUS,407834.385
1,3,23,28,15,UHD,Non-Touch,Laptop,FRA,1276271.073
20,13,4,28,15,FHD,Touch,Laptop,FRA,352408
20,3,41,3,15,FHD,Non-Touch,Laptop,FRA,1107396.045
8,15,40,28,13,FHD+,Touch,Laptop,FRA,374003.7
20,3,75,19,10,FHD,Non-Touch,Desktop,FRA,454821.045
22,3,13,18,10,FHD,Non-Touch,Desktop,FRA,519606.003
20,3,23,5,15,FHD,Non-Touch,Laptop,CHN,1000188
10,15,54,5,15,FHD,Non-Touch,Laptop,IND,471174.354
20,16,23,28,17,FHD,Touch,Laptop,FRA,397596.024
6,15,40,28,13,QHD+,Touch,Laptop,USA,458554.824
25,15,41,14,10,FHD,Non-Touch,Desktop,FRA,393700.503
25,15,56,28,15,FHD,Touch,Laptop,IND,469637.168
20,8,56,14,15,FHD,Non-Touch,Laptop,FRA,439270.3
20,7,24,9,10,FHD,Non-Touch,Desktop,FRA,512059.968
7,15,4,28,14,FHD,Non-Touch,Laptop,AUS,216911.73
20,7,54,18,15,FHD,Non-Touch,Laptop,IND,812960.764
6,2,23,28,27,UHD,Touch,Desktop,IND,811150.172
25,15,23,17,17,FHD,Non-Touch,Laptop,IND,766048.92
22,3,70,32,15,QHD+,Non-Touch,Laptop,IND,2073907.584
2,15,4,28,23,FHD,Non-Touch,Desktop,CAN,367023.93
20,3,56,19,17,FHD,Non-Touch,Laptop,CAN,783140.6128
20,3,39,28,13,UHD,Non-Touch,Laptop,CHN,1054053
20,15,41,4,13,FHD,Non-Touch,Laptop,IND,411652.6866
20,15,25,28,13,FHD,Non-Touch,Laptop,AUS,397836.285
25,15,40,19,17,FHD,Non-Touch,Laptop,BRA,466247.0967
20,7,46,3,15,FHD,Non-Touch,Laptop,CHN,2077992
20,3,46,5,17,FHD,Non-Touch,Laptop,CHN,1015005.6
25,3,40,28,13,QHD+,Non-Touch,Laptop,IND,740269.46
19,12,44,11,10,FHD,Non-Touch,Desktop,FRA,1418650.87
26,11,39,28,14,HD+,Non-Touch,Laptop,AUS,149373.735
1,3,41,7,17,FHD,Non-Touch,Laptop,BRA,1180338.301
12,15,31,17,10,FHD,Non-Touch,Desktop,FRA,478970.835
10,15,31,17,10,FHD,Non-Touch,Desktop,FRA,501419.856
25,11,70,4,15,FHD,Non-Touch,Laptop,GER,271135.669
22,3,23,3,10,FHD,Non-Touch,Desktop,FRA,1021141.849
25,3,54,28,17,FHD,Non-Touch,Laptop,IND,543993.688
1,7,54,28,15,QHD+,Non-Touch,Laptop,GBR,1636618.2
25,15,23,28,17,FHD,Touch,Laptop,FRA,380515.772
9,3,70,28,10,FHD,Non-Touch,Desktop,FRA,302395.8
25,15,52,5,17,FHD,Non-Touch,Laptop,FRA,576354.793
20,15,23,28,12,QHD+,Touch,Laptop,USA,1056461.616
13,3,4,25,15,UHD,Non-Touch,Laptop,GER,1065396.808
21,15,54,28,13,FHD+,Touch,Laptop,FRA,468155.744
20,3,52,18,10,FHD,Non-Touch,Desktop,IND,814001.524
25,3,3,19,10,FHD,Non-Touch,Desktop,FRA,510715.744
25,15,23,28,14,HD,Non-Touch,Laptop,CHN,250651.422
35,15,23,32,15,FHD,Non-Touch,Desktop,GER,296390.71
20,1,54,19,15,FHD,Non-Touch,Laptop,GER,886341.4
25,15,52,5,15,FHD,Non-Touch,Laptop,FRA,449647.758
22,3,54,26,17,FHD,Non-Touch,Laptop,AUS,962260.845
22,3,52,3,15,FHD,Non-Touch,Laptop,AUS,1294922.58
25,15,20,19,10,FHD,Non-Touch,Desktop,IND,602131.698
20,3,4,5,23,FHD,Touch,Desktop,USA,620617.536
12,3,56,21,10,FHD,Non-Touch,Desktop,FRA,564195.66
25,15,56,14,17,FHD,Non-Touch,Desktop,IND,576228.338
1,3,56,19,15,FHD,Non-Touch,Laptop,FRA,689915.688
25,15,54,28,15,UHD,Touch,Laptop,FRA,367110.681
6,15,70,9,27,UHD+,Non-Touch,Desktop,GER,1324810.746
12,3,56,9,27,UHD,Non-Touch,Desktop,FRA,646221.66
6,15,4,19,10,FHD,Non-Touch,Desktop,CAN,450626.3671
35,15,56,5,15,FHD,Non-Touch,Desktop,GER,413437.5
40,13,73,28,14,FHD,Non-Touch,Laptop,BRA,190726.1563
10,15,54,5,17,FHD,Non-Touch,Laptop,IND,511607.88
20,3,54,5,15,UHD,Touch,Laptop,IND,985928.468
9,3,75,19,10,FHD,Non-Touch,Desktop,FRA,406359.583
25,3,23,5,17,FHD,Non-Touch,Laptop,FRA,503533.583
10,1,54,17,10,FHD,Non-Touch,Desktop,AUS,393054.48
13,15,41,28,14,HD+,Non-Touch,Laptop,CHN,474688.872
1,7,70,28,15,QHD+,Non-Touch,Laptop,GBR,2301001.346
25,15,5,17,17,FHD,Non-Touch,Laptop,CAN,837304.65
20,3,41,19,10,FHD,Non-Touch,Desktop,IND,734945.064
20,15,28,28,14,FHD,Non-Touch,Laptop,AUS,419985.825
22,3,70,14,15,FHD,Non-Touch,Laptop,AUS,535013.115
25,3,28,14,15,FHD,Non-Touch,Laptop,AUS,467585.055
6,15,54,5,17,FHD,Non-Touch,Laptop,IND,528936.534
2,15,29,14,10,FHD,Non-Touch,Desktop,FRA,327889.569
20,16,23,5,17,FHD,Non-Touch,Laptop,FRA,431160.555
22,3,1,26,13,FHD,Non-Touch,Laptop,GER,1377621.378
25,13,41,28,14,HD+,Touch,Laptop,AUS,317252.985
25,15,54,18,10,FHD,Non-Touch,Desktop,FRA,697829.041
20,3,56,3,15,UHD,Non-Touch,Laptop,BRA,1173794.309
42,15,40,28,14,FHD,Touch,Laptop,CAN,466642.1669
10,15,41,12,10,FHD,Non-Touch,Desktop,FRA,394018.471
26,13,39,28,14,HD+,Non-Touch,Laptop,AUS,149850.855
6,13,23,28,15,FHD,Non-Touch,Laptop,CAN,234034.4461
12,15,40,10,15,FHD,Touch,Laptop,FRA,361755.478
1,3,56,7,17,FHD,Non-Touch,Laptop,CAN,1241558.5
44,13,67,28,11,HD+,Touch,Laptop,GBR,209444.277
20,7,56,19,17,FHD,Non-Touch,Laptop,FRA,658563.696
20,3,23,28,17,UHD,Non-Touch,Laptop,FRA,613795
22,3,55,17,10,FHD,Non-Touch,Desktop,GBR,771685.684
20,3,54,12,15,FHD,Non-Touch,Laptop,GBR,861357.343
20,15,16,28,23,FHD,Non-Touch,Desktop,CAN,651058.59
20,16,23,28,15,FHD,Non-Touch,Laptop,CHN,334698.7669
25,15,54,28,12,FHD+,Touch,Laptop,AUS,377616.33
44,13,73,28,11,HD+,Non-Touch,Laptop,GBR,130386.018
22,15,23,26,10,FHD,Non-Touch,Desktop,FRA,825295.415
25,15,54,28,14,FHD,Non-Touch,Laptop,AUS,373583.805
25,16,23,28,10,FHD,Non-Touch,Desktop,FRA,302570.345
20,3,53,14,15,FHD,Non-Touch,Laptop,FRA,436445.1
10,15,23,3,10,FHD,Non-Touch,Desktop,FRA,710239.873
25,15,5,19,10,FHD,Non-Touch,Desktop,CAN,409639.5758
20,3,53,5,15,FHD,Non-Touch,Laptop,FRA,456871.338
20,3,41,7,10,FHD,Non-Touch,Desktop,IND,865603.396
20,15,70,33,27,QHD,Non-Touch,Desktop,CAN,783725.67
6,15,40,28,13,FHD+,Touch,Laptop,AUS,556577.28
20,3,23,5,23,FHD,Touch,Desktop,IND,767301.136
20,7,60,2,10,FHD,Non-Touch,Desktop,FRA,1128019.2
20,7,52,26,17,UHD,Non-Touch,Laptop,BRA,1891451.44
6,15,70,28,10,FHD,Non-Touch,Desktop,FRA,243332.775
20,7,64,19,17,FHD,Non-Touch,Laptop,FRA,793323.3
20,7,16,19,10,FHD,Non-Touch,Desktop,FRA,755522.775
10,15,4,18,10,FHD,Non-Touch,Desktop,CAN,735394.66
44,15,23,28,15,FHD,Non-Touch,Laptop,IND,210685.342
25,15,55,26,10,FHD,Non-Touch,Desktop,FRA,851594.282
1,3,54,14,15,UHD,Touch,Laptop,IND,1453365.998
25,7,23,5,10,FHD,Non-Touch,Desktop,FRA,500530.233
22,3,41,32,15,QHD+,Non-Touch,Laptop,IND,1637132.826
6,15,52,19,10,FHD,Non-Touch,Desktop,IND,449442.294
2,13,23,10,15,HD+,Touch,Laptop,AUS,295695.3951
44,3,23,28,15,HD+,Non-Touch,Laptop,GBR,154109.494
20,15,54,18,17,FHD,Non-Touch,Laptop,BRA,944872.9528
44,15,39,28,14,FHD,Non-Touch,Laptop,AUS,200730.285
25,15,23,28,15,HD+,Touch,Laptop,FRA,281373.19
25,15,8,28,13,QHD+,Non-Touch,Laptop,AUS,616432.74
20,15,41,18,15,FHD,Non-Touch,Laptop,GBR,1087405.34
6,13,41,28,13,FHD+,Non-Touch,Laptop,AUS,446371.38
6,15,54,28,12,FHD+,Non-Touch,Laptop,GBR,866122.334
25,15,70,19,10,FHD,Non-Touch,Desktop,FRA,510927.998
13,15,4,6,15,FHD,Non-Touch,Laptop,CAN,608217.2278
12,3,4,10,15,FHD,Touch,Laptop,FRA,339574.2
20,3,39,3,15,FHD,Non-Touch,Laptop,CHN,2388758.4
20,13,56,19,15,FHD,Non-Touch,Laptop,IND,723253.86
20,15,54,28,12,QHD+,Touch,Laptop,USA,1012457.376
20,15,41,28,13,HD+,Non-Touch,Laptop,FRA,653935.156
10,15,4,12,15,FHD,Non-Touch,Laptop,FRA,404371.128
25,15,40,28,12,UHD,Touch,Laptop,CAN,524999.93
25,3,49,19,10,FHD,Non-Touch,Desktop,AUS,737026.29
20,3,70,14,15,UHD,Non-Touch,Laptop,CHN,1838781
25,15,4,4,15,FHD,Non-Touch,Laptop,CHN,429788.268
6,15,41,28,15,FHD,Non-Touch,Laptop,IND,780199.952
20,3,46,3,15,FHD,Non-Touch,Laptop,CHN,2259482.4
1,7,70,28,15,FHD,Non-Touch,Laptop,FRA,2435890.079
20,3,23,14,17,FHD,Non-Touch,Laptop,IND,644519.54
20,3,4,4,13,FHD,Non-Touch,Laptop,IND,581747.67
20,3,41,19,15,QHD+,Touch,Laptop,AUS,1279744.2
20,16,23,5,15,FHD,Non-Touch,Laptop,FRA,436739.037
12,3,13,17,10,FHD,Non-Touch,Desktop,FRA,573960.009
10,3,4,18,10,FHD,Non-Touch,Desktop,IND,707127.036
1,3,70,14,15,UHD,Non-Touch,Laptop,CHN,1799456.4
20,15,23,29,15,HD,Non-Touch,Laptop,CHN,303217.992
15,13,40,28,14,HD+,Non-Touch,Laptop,AUS,230480.8863
25,15,28,14,17,FHD,Non-Touch,Laptop,AUS,670895.61
36,13,39,28,10,FHD,Non-Touch,Desktop,GER,281777.538
20,3,18,26,10,FHD,Non-Touch,Desktop,IND,1012384.422
20,3,41,2,15,FHD,Non-Touch,Laptop,BRA,1263500.532
20,3,23,14,15,UHD,Touch,Laptop,CAN,1218016.8
20,13,54,14,15,FHD,Non-Touch,Laptop,GER,1259337.74
20,3,49,19,10,FHD,Non-Touch,Desktop,AUS,594676.215
20,3,54,14,14,FHD,Non-Touch,Laptop,IND,884531.1943
20,3,18,28,10,FHD,Non-Touch,Desktop,IND,533895.012
19,7,70,11,10,FHD,Non-Touch,Desktop,AUS,6106723.665
19,7,36,11,10,FHD,Non-Touch,Desktop,CAN,3298090.25
10,15,54,14,10,FHD,Non-Touch,Desktop,FRA,533930.439
20,7,4,14,15,FHD,Non-Touch,Laptop,FRA,468826.904
6,15,41,28,12,UHD,Touch,Laptop,AUS,495942.72
20,15,43,7,10,FHD,Non-Touch,Desktop,FRA,485444.89
1,15,41,3,17,FHD,Non-Touch,Laptop,IND,1858395.924
20,15,41,14,15,UHD,Touch,Laptop,FRA,792044.89
25,15,16,18,10,FHD,Non-Touch,Desktop,FRA,750622.411
20,15,54,18,15,FHD,Non-Touch,Laptop,AUS,752122.245
25,15,41,28,13,HD,Non-Touch,Laptop,BRA,827727.3272
25,15,23,32,10,FHD,Non-Touch,Desktop,AUS,1078902.159
6,15,4,28,15,FHD,Non-Touch,Laptop,AUS,361658.535
10,7,41,12,15,FHD,Non-Touch,Laptop,AUS,619842.51
25,3,70,14,15,FHD,Non-Touch,Laptop,AUS,520512.3
42,3,54,28,13,FHD+,Touch,Laptop,AUS,1312197.6
20,3,23,28,17,FHD,Touch,Laptop,FRA,465564.827
25,15,54,28,14,FHD,Touch,Laptop,FRA,414954.813
12,15,41,28,14,FHD,Touch,Laptop,AUS,359273.88
20,15,70,28,15,FHD,Touch,Laptop,CHN,426417.012
20,3,15,5,13,QHD+,Touch,Laptop,AUS,1594851.3
20,3,54,28,12,UHD,Touch,Laptop,CAN,1221269.14
6,15,41,28,13,QHD+,Non-Touch,Laptop,GBR,884124.549
20,15,4,35,17,FHD,Non-Touch,Laptop,BRA,483522.317
20,3,59,14,15,FHD,Non-Touch,Laptop,GBR,856391.655
20,3,41,28,15,UHD,Touch,Laptop,CAN,881598.9
10,3,13,18,10,FHD,Non-Touch,Desktop,FRA,600524.778
12,15,28,10,23,FHD,Non-Touch,Desktop,CAN,649419.68
20,15,23,5,10,FHD,Non-Touch,Desktop,FRA,536922.736
20,3,59,19,15,FHD,Non-Touch,Laptop,GER,789905.48
10,15,41,19,15,UHD,Non-Touch,Laptop,FRA,498758.694
10,3,23,5,15,FHD,Non-Touch,Laptop,AUS,482217.435
25,16,23,10,15,FHD,Touch,Laptop,FRA,390048.729
12,7,70,10,15,FHD,Touch,Laptop,FRA,611268
25,3,56,19,10,FHD,Non-Touch,Laptop,IND,627957.414
25,15,23,2,10,FHD,Non-Touch,Desktop,FRA,686215.201
6,3,54,28,13,QHD+,Non-Touch,Laptop,IND,1398156.984
2,15,41,10,15,FHD,Non-Touch,Laptop,IND,327839.4
12,1,23,19,10,FHD,Non-Touch,Desktop,FRA,520108.638
23,15,8,28,12,FHD+,Non-Touch,Laptop,AUS,349701.66
20,3,54,13,13,QHD+,Touch,Laptop,FRA,860601
19,2,37,11,10,FHD,Non-Touch,Desktop,FRA,4176894.645
22,3,41,26,10,FHD,Non-Touch,Desktop,FRA,746754.666
25,15,23,28,17,UHD,Non-Touch,Laptop,FRA,348069.645
1,7,52,7,17,FHD,Non-Touch,Laptop,CAN,2788082.115
22,15,54,5,15,FHD,Non-Touch,Laptop,AUS,548985.255
25,15,70,33,10,FHD,Non-Touch,Desktop,GBR,562365.23
25,13,23,14,15,FHD,Non-Touch,Laptop,AUS,479727.36
22,3,49,28,15,FHD,Non-Touch,Laptop,AUS,893888.73
20,7,16,26,10,FHD,Non-Touch,Desktop,GER,1329049.05
20,15,4,14,15,FHD,Touch,Laptop,AUS,1170921.377
13,15,23,28,15,FHD,Touch,Laptop,GER,646408
20,7,70,5,17,FHD,Non-Touch,Laptop,FRA,749072.8
13,15,39,28,14,HD,Non-Touch,Laptop,CHN,614303.676
20,15,23,14,15,FHD,Non-Touch,Laptop,AUS,568808.73
25,15,23,26,10,FHD,Non-Touch,Desktop,FRA,879978.568
25,15,41,28,14,FHD+,Touch,Laptop,BRA,859628.0215
20,15,70,28,15,HD+,Non-Touch,Laptop,CHN,357537.125
25,3,54,28,13,FHD,Touch,Laptop,IND,1386791.224
20,3,56,28,17,HD+,Touch,Laptop,FRA,517182.498
25,15,4,28,17,FHD,Touch,Laptop,FRA,537818.512
10,3,56,18,10,FHD,Non-Touch,Desktop,IND,57708.49
5,15,40,28,12,QHD+,Touch,Laptop,FRA,558176.472
42,15,40,28,10,FHD,Non-Touch,Desktop,BRA,387803.0667
20,3,52,19,14,FHD,Non-Touch,Laptop,CAN,1074902.92
6,15,23,28,13,FHD,Touch,Laptop,GER,517980.078
20,16,4,28,15,FHD,Non-Touch,Laptop,FRA,554544.9
26,13,40,28,13,FHD,Non-Touch,Laptop,IND,181367.298
10,15,56,19,10,FHD,Non-Touch,Desktop,FRA,526674.456
10,15,56,17,10,FHD,Non-Touch,Desktop,FRA,653360.463
23,13,40,28,10,UHD,Touch,Laptop,AUS,372750.84
12,1,40,18,10,FHD,Non-Touch,Desktop,FRA,423574.963
25,15,23,14,17,FHD,Non-Touch,Laptop,IND,556241.616
20,15,41,28,15,FHD,Touch,Laptop,FRA,551622.428
19,15,70,18,10,FHD,Non-Touch,Desktop,GBR,1671882.884
22,15,4,14,10,FHD,Non-Touch,Desktop,FRA,557894.421
25,15,56,17,10,FHD,Non-Touch,Desktop,FRA,740076.372
10,15,41,12,15,FHD,Non-Touch,Laptop,AUS,511675.605
25,16,4,5,15,FHD,Touch,Laptop,IND,664265.07
19,7,55,11,10,FHD,Non-Touch,Desktop,CAN,3413038.738
25,7,4,14,15,FHD,Non-Touch,Laptop,FRA,623512.75
20,7,54,3,17,FHD,Non-Touch,Laptop,FRA,1698333.7
20,15,54,28,14,UHD,Touch,Laptop,AUS,590120.685
20,7,41,3,15,FHD,Non-Touch,Laptop,CAN,1643411.77
12,15,43,19,10,FHD,Non-Touch,Desktop,FRA,607062.379
22,3,55,3,10,FHD,Non-Touch,Desktop,FRA,1245293.7
8,3,70,2,10,FHD,Non-Touch,Desktop,FRA,1016867.6
20,3,52,14,10,FHD,Non-Touch,Desktop,IND,865890.018
10,3,54,19,10,FHD,Non-Touch,Desktop,IND,666740.592
25,15,4,14,15,FHD,Non-Touch,Laptop,IND,568147.58
12,15,41,10,13,FHD,Non-Touch,Laptop,IND,519859.62
22,7,10,32,15,QHD+,Non-Touch,Laptop,IND,4734781.506
20,3,49,28,13,UHD,Touch,Laptop,AUS,1115539.32
20,2,39,28,15,FHD,Non-Touch,Laptop,CHN,2886143.4
8,3,16,14,10,FHD,Non-Touch,Desktop,USA,1433718.15
12,13,23,10,15,HD+,Non-Touch,Laptop,FRA,314154.288
12,3,41,10,13,FHD,Touch,Laptop,FRA,472970.232
7,13,23,28,14,HD+,Non-Touch,Laptop,CAN,207682.02
12,3,52,2,10,FHD,Non-Touch,Desktop,IND,1142638.84
20,3,16,5,10,FHD,Non-Touch,Desktop,FRA,756645.246
1,7,41,28,15,QHD+,Non-Touch,Laptop,IND,2334722.04
19,3,70,3,10,FHD,Non-Touch,Desktop,GBR,4166501.773
20,16,23,14,10,FHD,Non-Touch,Desktop,FRA,536418.232
25,15,23,28,23,FHD,Non-Touch,Desktop,GBR,714112.91
20,3,56,5,27,UHD,Touch,Desktop,AUS,1170536.64
25,15,41,28,13,FHD,Non-Touch,Desktop,CAN,450789.43
20,7,70,7,17,FHD,Non-Touch,Laptop,FRA,1359836.1
22,3,72,17,10,FHD,Non-Touch,Desktop,FRA,859874.19
12,15,41,18,10,FHD,Non-Touch,Desktop,FRA,486298.176
20,3,54,14,17,FHD,Non-Touch,Laptop,IND,1161993.672
32,13,40,28,10,FHD+,Non-Touch,Laptop,AUS,351032.22
25,3,23,28,14,FHD,Touch,Laptop,CHN,506233.728
20,3,4,28,14,FHD,Non-Touch,Desktop,IND,692320.986
25,16,56,5,17,FHD,Non-Touch,Laptop,FRA,529824.113
12,15,23,29,15,HD,Non-Touch,Laptop,CHN,357180.516
22,3,23,3,17,FHD,Non-Touch,Laptop,AUS,1488602.43
25,13,23,28,14,HD+,Touch,Laptop,AUS,396396.0462
35,15,4,12,17,FHD,Non-Touch,Laptop,BRA,574735.9685
20,13,53,28,15,UHD,Touch,Laptop,FRA,368531.1
25,15,23,28,13,HD,Non-Touch,Laptop,CHN,362748.078
25,15,41,35,15,FHD,Non-Touch,Desktop,IND,381825.108
22,15,54,26,10,FHD,Non-Touch,Desktop,FRA,1156376.585
6,3,52,28,10,FHD,Non-Touch,Desktop,IND,577976.0053
20,15,23,7,15,UHD,Non-Touch,Laptop,FRA,913060.071
12,15,16,9,10,FHD,Non-Touch,Desktop,CAN,926335.41
25,15,41,14,13,FHD,Non-Touch,Laptop,IND,909874.9475
12,3,55,11,10,FHD,Non-Touch,Desktop,FRA,1361382.029
20,13,41,28,14,FHD,Touch,Laptop,AUS,505593.5294
20,3,47,28,15,FHD,Touch,Laptop,CHN,914634
12,3,54,10,15,FHD,Non-Touch,Laptop,USA,770683.032
19,15,16,3,10,FHD,Non-Touch,Desktop,AUS,4026422.912
25,15,4,18,17,FHD,Non-Touch,Laptop,IND,986860.196
20,15,23,28,13,QHD+,Non-Touch,Laptop,IND,1874640.04
20,3,54,14,15,FHD,Non-Touch,Laptop,IND,855762.432
20,3,70,28,15,QHD+,Non-Touch,Laptop,IND,2966954.004
25,15,4,4,17,FHD,Non-Touch,Laptop,IND,566257.692
44,15,40,28,15,HD+,Non-Touch,Laptop,FRA,223092.576
20,3,28,4,27,QHD,Touch,Desktop,USA,1124767.728
20,15,23,2,15,FHD,Non-Touch,Laptop,GER,2491957.524
20,7,39,14,17,FHD,Non-Touch,Laptop,CHN,1591039.8
20,3,4,14,17,FHD,Non-Touch,Laptop,IND,783408.962
22,3,31,3,10,FHD,Non-Touch,Desktop,FRA,1135701.959
42,15,41,28,14,FHD,Non-Touch,Laptop,IND,378679.7
25,15,4,18,15,FHD,Non-Touch,Laptop,IND,925976.562
6,15,23,9,10,FHD,Non-Touch,Desktop,FRA,397497.8
12,3,4,7,10,FHD,Non-Touch,Desktop,IND,782736.0446
20,3,23,19,15,FHD,Non-Touch,Laptop,GBR,1235225.597
25,13,39,28,14,HD+,Non-Touch,Laptop,AUS,348235.335
20,15,54,28,14,FHD+,Non-Touch,Laptop,AUS,639358.65
6,15,4,5,15,FHD,Non-Touch,Laptop,IND,576817.276
20,3,56,2,10,FHD,Non-Touch,Desktop,IND,1199042.25
20,15,4,9,10,FHD,Non-Touch,Desktop,IND,724502.772
25,15,16,28,14,FHD,Non-Touch,Laptop,AUS,467399.835
20,13,4,14,15,FHD,Non-Touch,Laptop,GER,745939.25
20,15,4,7,10,FHD,Non-Touch,Desktop,BRA,736838.4086
22,3,23,26,10,FHD,Non-Touch,Desktop,AUS,1572492.495
25,15,56,28,17,FHD,Non-Touch,Laptop,IND,759897.698
25,15,39,14,15,FHD,Non-Touch,Laptop,FRA,489772.647
20,15,54,28,12,FHD+,Non-Touch,Laptop,AUS,740787.39
1,7,70,14,15,UHD,Touch,Laptop,IND,2485434
25,15,53,28,14,FHD,Non-Touch,Laptop,BRA,527260.2391
35,3,4,10,15,FHD,Touch,Laptop,FRA,371693.805
20,15,53,28,15,FHD,Touch,Laptop,FRA,465143.798
6,15,23,28,15,HD+,Non-Touch,Laptop,CHN,404145.2507
12,15,23,5,15,FHD+,Non-Touch,Laptop,GER,469313.474
20,15,56,14,15,UHD,Non-Touch,Laptop,FRA,885422.895
22,3,4,17,15,FHD,Non-Touch,Laptop,AUS,1209296.97
20,3,70,14,17,UHD,Non-Touch,Laptop,FRA,1210134.1
20,13,41,35,14,FHD,Touch,Laptop,AUS,514458.945
12,15,4,10,15,FHD,Touch,Laptop,FRA,466221
20,3,41,14,17,FHD,Non-Touch,Laptop,IND,920253.208
20,3,23,12,15,FHD,Non-Touch,Laptop,GER,1182674.388
20,3,54,18,15,FHD,Non-Touch,Laptop,AUS,1426730.13
25,15,40,7,10,FHD,Non-Touch,Desktop,FRA,546343.756
25,15,23,28,27,QHD,Non-Touch,Desktop,CAN,737917.18
20,3,56,7,15,UHD,Non-Touch,Laptop,AUS,1652717.913
20,15,56,28,15,UHD,Touch,Laptop,AUS,945955.395
12,16,56,10,15,FHD,Non-Touch,Laptop,IND,595296.548
22,3,23,28,15,FHD,Non-Touch,Laptop,GBR,1288573.426
22,7,41,32,15,QHD+,Non-Touch,Laptop,IND,2526816.6
25,15,56,14,10,FHD,Non-Touch,Desktop,IND,564984
20,15,41,3,17,FHD,Non-Touch,Laptop,IND,1993335.414
20,7,23,28,15,FHD,Non-Touch,Desktop,CHN,2237457.6
35,7,64,3,10,FHD,Non-Touch,Desktop,BRA,4130541.397
25,15,43,7,10,FHD,Non-Touch,Desktop,FRA,603148.651
6,16,70,28,10,FHD,Non-Touch,Desktop,FRA,329678.146
20,7,70,14,17,FHD,Non-Touch,Laptop,FRA,1280359.5
25,15,41,17,10,FHD,Non-Touch,Desktop,CAN,950213.7372
6,3,41,28,13,FHD+,Non-Touch,Laptop,FRA,1023040.2
25,3,54,28,13,FHD,Non-Touch,Laptop,IND,1501754.73
